item_id,base_case_id,dataset,source_basis,approach,true_language,language,detected_language,language_detection_method,language_detection_correct,question,context,reference_answer,expected_answer_points,should_not_include,generated_answer,latency_seconds,pipeline_model_id,answer_model_id,routing_model_id,top_k,max_new_tokens,generation_timestamp,error_message,detected_scope,scope_detection_method,cached_detected_scope,retrieved_item_ids,retrieval_similarity_scores
EXISTING_014_EN,EXISTING_014,in_scope,existing QA example,closed_book,en,en,en,lingua,True,The net-metering scheme is being phased out. How will this affect me?,User has heard about changes to the Dutch net-metering scheme and asks for guidance.,"The Dutch net-metering scheme is set to stop from 1 January 2027, so exported solar electricity will no longer be offset against imported electricity in the same way. Your monitoring data can still help you see how much solar energy you use directly versus feed back to the grid. For contract-specific effects, tariffs, or exact bill changes, please check your energy supplier or official information.",explains saldering change at a high level; links effect to timing of self-consumption and export; says app can show production/use timing; redirects contract-specific impact to supplier/official information,financial advice; exact future bill prediction; legal advice; unsupported policy details,"I can only help with questions about household energy monitoring, energy use, solar production, heat pumps, ventilation, and related anomalies. Please ask a question about your energy data or system readings.",0.07849476899991714,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 12:46:34,,out_of_scope,cached_qwen7b_router,out_of_scope,,
EXISTING_014_NL,EXISTING_014,in_scope,existing QA example,closed_book,nl,nl,nl,lingua,True,De salderingsregeling wordt afgebouwd. Hoe beïnvloedt dit mij?,User has heard about changes to the Dutch net-metering scheme and asks for guidance.,"De Nederlandse salderingsregeling stopt naar verwachting per 1 januari 2027, waardoor teruggeleverde zonnestroom niet meer op dezelfde manier wordt weggestreept tegen afgenomen stroom. De monitoringdata kan nog steeds helpen om te zien hoeveel zonnestroom u direct zelf gebruikt en hoeveel u teruglevert. Voor gevolgen voor uw contract, tarieven of exacte rekening kunt u het beste uw energieleverancier of officiële informatie raadplegen.",explains saldering change at a high level; links effect to timing of self-consumption and export; says app can show production/use timing; redirects contract-specific impact to supplier/official information,financial advice; exact future bill prediction; legal advice; unsupported policy details,"Ik kan alleen helpen met vragen over energiemonitoring in huis, energieverbruik, zonne-energie, warmtepompen, ventilatie en afwijkende energiepatronen. Stel gerust een vraag over uw energiegegevens of systeemmetingen.",0.005308435999950234,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 12:46:34,,out_of_scope,cached_qwen7b_router,out_of_scope,,
NEW_024_EN,NEW_024,in_scope,thesis inspired,closed_book,en,en,en,lingua,True,What does 'building-related energy use' mean in the app?,"EPV overview separates household use, building-related use, heating, hot water, and solar production.","Building-related energy use is energy for systems that help the home itself work, such as heating, ventilation, and sometimes hot water, depending on how your home is measured. It is separate from household use, such as cooking, washing, charging, and standby devices. If this number suddenly rises, ask yourself: was it colder, was more hot water used, or was ventilation running more often?",explains building-related use in plain language; separates from household appliance use; gives simple reflection questions,legal EPV definition beyond context; exact contractual interpretation; installer settings; compensation advice,"Okay, so the user is asking, ""What does 'building-related energy use' mean in the app?"" I need to explain this in simple terms without using any technical jargon. From the system context, I know that EPV is split into different categories, and 'building-related energy use' is one of them. I should connect it to everyday household activities to make it relatable. I remember that 'building-related use' refers to energy",8.173837142000139,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 12:46:43,,in_scope,prompt_based,in_scope,,
NEW_024_NL,NEW_024,in_scope,thesis inspired,closed_book,nl,nl,nl,lingua,True,Wat betekent 'gebouwgebonden energieverbruik' in de app?,"EPV overview separates household use, building-related use, heating, hot water, and solar production.","Gebouwgebonden energieverbruik is energie voor systemen die de woning zelf laten werken, zoals verwarming, ventilatie en soms warm water, afhankelijk van hoe uw woning wordt gemeten. Het staat los van huishoudelijk gebruik, zoals koken, wassen, opladen en stand-by apparaten. Stijgt dit getal plotseling, vraag dan: was het kouder, is er meer warm water gebruikt of draaide de ventilatie vaker?",explains building-related use in plain language; separates from household appliance use; gives simple reflection questions,legal EPV definition beyond context; exact contractual interpretation; installer settings; compensation advice,"Ik kan alleen helpen met vragen over energiemonitoring in huis, energieverbruik, zonne-energie, warmtepompen, ventilatie en afwijkende energiepatronen. Stel gerust een vraag over uw energiegegevens of systeemmetingen.",0.0007853439999507827,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 12:46:43,,out_of_scope,cached_qwen7b_router,out_of_scope,,
NEW_015_EN,NEW_015,in_scope,Tante Tip inspired,closed_book,en,en,en,lingua,True,Should I open the windows a lot if I already have balanced ventilation?,Balanced ventilation/WTW electricity is steady; heating use increases during periods when windows are reported open for long periods in cold weather.,"Balanced ventilation already refreshes the air in the home. In cold weather, leaving windows open for a long time can make the heating work harder. Short airing is different from leaving windows open for hours. Tip: air briefly when needed, but avoid long window opening while the heating is on.",explains balanced ventilation in simple terms; links long window opening to heating use; distinguishes brief airing from long opening; gives practical tip,telling user never to open windows; medical advice; blame; exact cost guarantee,"Okay, so the user is asking whether they should open the windows a lot if they already have balanced ventilation. I need to answer this based on the current context provided. First, I recall that balanced ventilation refers to the system automatically adjusting the balance between opening and closing windows to maintain air quality and comfort. The context mentions that balanced ventilation is steady, which suggests it's working as intended without needing manual intervention. The user is concerned about opening the",8.478288864999968,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 12:46:51,,in_scope,prompt_based,in_scope,,
NEW_015_NL,NEW_015,in_scope,Tante Tip inspired,closed_book,nl,nl,nl,lingua,True,Moet ik de ramen veel openzetten als ik al balansventilatie heb?,Balanced ventilation/WTW electricity is steady; heating use increases during periods when windows are reported open for long periods in cold weather.,"Balansventilatie ververst de lucht in de woning al. Bij koud weer kunnen ramen die lang openstaan ervoor zorgen dat de verwarming harder moet werken. Kort luchten is iets anders dan ramen urenlang open laten. Tip: lucht kort als dat nodig is, maar laat ramen niet lang openstaan terwijl de verwarming aan staat.",explains balanced ventilation in simple terms; links long window opening to heating use; distinguishes brief airing from long opening; gives practical tip,telling user never to open windows; medical advice; blame; exact cost guarantee,"Alright, I need to help the user understand whether they should open the windows more if they already have balanced ventilation set. The user is asking in Dutch, so I'll respond in Dutch. First, I'll look at the system context. It mentions that balanced ventilation (WTW) is steady, and heating use increases when windows are open a lot in cold weather. So, the current setup seems to be working as intended. I should explain",7.851375523000115,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 12:46:59,,in_scope,prompt_based,in_scope,,
NEW_030_EN,NEW_030,in_scope,Tante Tip inspired,closed_book,en,en,en,lingua,True,Should I turn off my WTW or balanced ventilation to save electricity?,No specific app data; resident asks a general energy-saving question about ventilation.,"No, do not switch balanced ventilation off during normal use. It is meant to refresh the air continuously, and a dry, well-ventilated home is easier to heat. If your system has manual settings, use the normal setting for daily use and a higher setting while cooking or showering. Follow your housing provider's instructions for your specific system.",answers general ventilation question; says not to switch off balanced ventilation; links ventilation to dry/easier-to-heat home; gives simple setting guidance and housing-provider redirect,advising switch-off; medical claims; repair steps; exact technical specification,"Okay, so the user is asking whether they should turn off their WTW or balanced ventilation to save electricity. I need to answer this based on the system's context, which is that there's no specific app data provided. First, I should recall what WTW and balanced ventilation are. WTW stands for Whole House Thermostat, and balanced ventilation refers to running all ventilation devices at the same time, usually to maintain indoor air quality. Both",7.850064326999927,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 12:47:07,,in_scope,prompt_based,in_scope,,
NEW_030_NL,NEW_030,in_scope,Tante Tip inspired,closed_book,nl,nl,nl,lingua,True,Moet ik mijn WTW of balansventilatie uitzetten om stroom te besparen?,No specific app data; resident asks a general energy-saving question about ventilation.,"Nee, zet balansventilatie bij normaal gebruik niet uit. Het systeem is bedoeld om continu lucht te verversen, en een droge, goed geventileerde woning warmt makkelijker op. Heeft uw systeem handmatige standen, gebruik dan de normale stand voor dagelijks gebruik en een hogere stand tijdens koken of douchen. Volg voor uw eigen systeem de instructies van uw woningcorporatie.",answers general ventilation question; says not to switch off balanced ventilation; links ventilation to dry/easier-to-heat home; gives simple setting guidance and housing-provider redirect,advising switch-off; medical claims; repair steps; exact technical specification,"Alright, I need to answer the user's question about whether they should adjust their WTW or balanced ventilation to save electricity. The user is asking in Dutch, so I'll respond in Dutch. First, I should explain that WTW and balanced ventilation are designed to optimize energy use, so tweaking them might not save much. I should mention that changes could affect comfort or cause issues like drafts. I should also advise them to monitor their energy",8.36358663299984,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 12:47:15,,in_scope,prompt_based,in_scope,,
NEW_002_EN,NEW_002,in_scope,real-life use-case inspired,closed_book,en,en,en,lingua,True,"My electricity use is high, but I don't see any big peaks. What does that mean?","Daily graphs show no large short peaks, but the night-time baseline is consistently around [X] W higher than similar previous weeks.","I do not see one big peak; the extra use looks steady over many hours, especially at night. That often means base load: things that stay on, such as a fridge, ventilation, modem, pump, or standby devices. Did anything new stay plugged in around the time this started? Tip: switch off standby devices you do not need, but keep important systems such as ventilation and fridge/freezer on.",explains steady always-on use instead of peaks; gives simple examples; asks resident to connect pattern to changes at home; includes safe standby tip,certainty about exact device; intrusive behaviour assumptions; unsafe unplugging advice; billing guarantee,"Okay, so the user is concerned that their electricity use is high, but there are no big peaks. I need to figure out what this means based on the system context provided. The context mentions that daily graphs show no large short peaks, but the night-time baseline is consistently higher than similar previous weeks. Hmm, so the lack of peaks suggests that the high usage isn't due to a single spike but rather a consistent increase at night. The",7.813987008999902,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 12:47:23,,in_scope,prompt_based,in_scope,,
NEW_002_NL,NEW_002,in_scope,real-life use-case inspired,closed_book,nl,nl,nl,lingua,True,"Mijn stroomverbruik is hoog, maar ik zie geen duidelijke pieken. Wat betekent dat?","Daily graphs show no large short peaks, but the night-time baseline is consistently around [X] W higher than similar previous weeks.","Ik zie geen grote piek; het extra verbruik lijkt juist veel uren door te lopen, vooral 's nachts. Dat noemen we vaak basisverbruik: apparaten die aan blijven, zoals koelkast, ventilatie, modem, pomp of stand-by apparaten. Is er rond het begin van dit patroon iets nieuws aangesloten gebleven? Tip: zet stand-by apparaten uit die u niet nodig heeft, maar laat belangrijke systemen zoals ventilatie en koelkast/vriezer aan.",explains steady always-on use instead of peaks; gives simple examples; asks resident to connect pattern to changes at home; includes safe standby tip,certainty about exact device; intrusive behaviour assumptions; unsafe unplugging advice; billing guarantee,"Alright, I need to help the user understand why their electricity consumption is high without obvious peaks. The context mentions that the daily graphs show no large short peaks, but the nighttime baseline is consistently higher than similar previous weeks. First, I should explain that the consistent high nighttime usage suggests a steady pattern. Since there are no peaks, it's not due to a single appliance turning on and off. The higher baseline could be from devices that are always",7.9713625079998565,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 12:47:31,,in_scope,prompt_based,in_scope,,
NEW_033_EN,NEW_033,in_scope,thesis inspired,closed_book,en,en,en,lingua,True,Why are some bars in the electricity graph below zero?,Electricity graph shows positive bars for grid import and negative bars during periods of solar export.,Bars below zero usually mean electricity is going out of the home to the grid. This often happens when your solar panels make more electricity than the home is using at that moment. Does it happen during sunny hours? Tip: use flexible appliances during those sunny moments to use more of your own solar power.,explains negative bars as export in simple terms; links to solar surplus; asks sunny-hours reflection; includes self-consumption tip,claiming app error; tariff advice; technical meter repair; exact billing conclusion,"Okay, so the user is asking why some bars in their electricity graph are below zero. Let me think about how to approach this. From the context, I know that the graph shows positive bars for grid import and negative bars for solar export. So, the negative bars probably represent when the house is exporting electricity back to the grid. Now, why would some bars be negative? Well, negative bars in this context mean that the house is exporting more",8.456269304999978,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 12:47:39,,in_scope,prompt_based,in_scope,,
NEW_033_NL,NEW_033,in_scope,thesis inspired,closed_book,nl,nl,nl,lingua,True,Waarom staan sommige balkjes in de stroomgrafiek onder nul?,Electricity graph shows positive bars for grid import and negative bars during periods of solar export.,Balkjes onder nul betekenen meestal dat er stroom vanuit de woning naar het net gaat. Dit gebeurt vaak wanneer uw zonnepanelen op dat moment meer stroom maken dan de woning gebruikt. Gebeurt dit vooral tijdens zonnige uren? Tip: gebruik flexibele apparaten op die zonnige momenten om meer eigen zonnestroom te gebruiken.,explains negative bars as export in simple terms; links to solar surplus; asks sunny-hours reflection; includes self-consumption tip,claiming app error; tariff advice; technical meter repair; exact billing conclusion,"Alright, I need to answer the user's question about why some bars are below zero in their electricity graph. The context says the graph shows positive bars for grid import and negative during solar export. So, the bars below zero likely represent times when they're producing more electricity than consuming it, which is solar export. I should explain that these negative bars indicate when they're generating more than using, so the graph shows their excess production. It's important",7.869240486000081,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 12:47:47,,in_scope,prompt_based,in_scope,,
NEW_011_EN,NEW_011,in_scope,AI-assisted synthetic edge case,closed_book,en,en,en,lingua,True,Why does my heat pump use short bursts of electricity on cold mornings?,Outdoor temperature is below 3°C; heat pump graph shows several short bursts between 05:00–09:00.,"Cold mornings can make the heat pump work harder for short moments to keep the home warm or make hot water. If the home stays comfortable and the pattern is not much higher than usual, this is often not urgent. Tip: keep the thermostat steady and avoid large temperature changes. If comfort drops or the peaks suddenly become much higher, contact your housing provider.",links cold mornings to heat pump work; avoids technical mode explanation; includes steady thermostat tip; redirects comfort/persistent issue to housing provider,installer-level diagnosis; defrost repair instructions; certainty nothing is wrong; exact technical cause,"Okay, so the user is asking why their heat pump uses short bursts of electricity on cold mornings. Let me think about how to approach this. First, I remember from the system context that the outdoor temperature is below 3°C, which is quite cold. The heat pump's graph shows short bursts between 5:00 to 9:00. That makes sense because when it's cold, the heat pump needs to work harder",8.13617241199995,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 12:47:55,,in_scope,prompt_based,in_scope,,
NEW_011_NL,NEW_011,in_scope,AI-assisted synthetic edge case,closed_book,nl,nl,nl,lingua,True,Waarom gebruikt mijn warmtepomp korte stroompieken op koude ochtenden?,Outdoor temperature is below 3°C; heat pump graph shows several short bursts between 05:00–09:00.,"Koude ochtenden kunnen ervoor zorgen dat de warmtepomp korte momenten harder werkt om de woning warm te houden of warm water te maken. Als de woning comfortabel blijft en het patroon niet veel hoger is dan normaal, is dit vaak niet dringend. Tip: houd de thermostaat stabiel en voorkom grote temperatuurschommelingen. Neem contact op met uw woningcorporatie als het comfort slechter wordt of de pieken plots veel hoger worden.",links cold mornings to heat pump work; avoids technical mode explanation; includes steady thermostat tip; redirects comfort/persistent issue to housing provider,installer-level diagnosis; defrost repair instructions; certainty nothing is wrong; exact technical cause,"Alright, I need to answer the user's question about why the warm water pump is using short bursts on cold mornings. The user is asking for a simple, non-technical explanation based on the current context provided. First, I recall that the context mentions the outdoor temperature is below 3°C and the heat pump's graph shows short bursts between 5:00-9:00. This suggests the heat pump is only active during this",8.479836920000025,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 12:48:04,,in_scope,prompt_based,in_scope,,
NEW_010_EN,NEW_010,in_scope,Tante Tip inspired,closed_book,en,en,en,lingua,True,Would running my dishwasher during the day help me use more of my own solar power?,Solar production is usually highest between 11:00–15:00; dishwasher use is currently mostly after 20:00.,"Yes, this can help when the dishwasher can run safely during sunny hours. The app pattern shows your solar power is highest around midday, while the dishwasher is now mostly used in the evening. Tip: try the timer once during a sunny period, when someone can use it safely according to the appliance instructions.",mentions direct solar self-consumption; presents observed timing pattern; gives safe appliance timer tip; avoids guaranteed savings,guaranteed savings; unsafe appliance advice; tariff-specific recommendation; investment advice,"Okay, so the user is asking if running the dishwasher during the day would help them use more of their own solar power. I need to answer this based on the current context provided. From the context, I know that solar production is highest between 11:00 and 15:00. That's the peak time for their system. Also, the dishwasher is currently mostly used after 20:00.",7.859575011000061,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 12:48:12,,in_scope,prompt_based,in_scope,,
